Rk,Player,WAR,From,To,Age,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,WAR,WAA,oWAR,dWAR,Rbat,Rdp,Rbaser,Rbaser + Rdp,Rfield,Pos,Team,Player-additional
87,Yan Gomes,19.2,2012,2024,24-36,1097,4020,3699,439,915,578,191,10,136,512,8,0,214,935,0.247,0.296,0.415,0.711,90,1534,107,62,3,42,16,19.2,5.6,13.4,12.3,-52,-11,-4,-15,53,2HD3/57,CHCCLEOAKTORWSN,gomesya01
88,Steven Kwan,10.1,2022,2024,24-26,326,1454,1296,203,373,280,66,14,13,113,42,8,135,146,0.288,0.357,0.39,0.747,113,506,19,10,3,10,4,10.1,5.6,6.8,2.2,23,3,4,7,32,*79/DH8,CLE,kwanst01
89,Tommy Pham,18.1,2014,2023,26-35,1005,3901,3383,559,876,562,163,21,130,431,119,32,454,922,0.259,0.351,0.435,0.786,114,1471,105,38,3,23,12,18.1,5.5,17.8,-2.5,78,-6,10,4,3,78HD9,ARIBOSCINNYMSDPSTLTBR,phamth01
90,Gunnar Henderson,8.3,2022,2024,21-23,205,850,762,127,197,109,38,12,38,115,15,4,79,218,0.259,0.331,0.49,0.82,130,373,11,5,0,4,2,8.3,5.5,7.1,2,29,2,3,5,12,65DH/4,BAL,hendegu01
91,Michael Harris II,8.9,2022,2024,21-23,272,1069,1003,165,296,186,63,7,40,131,42,7,51,228,0.295,0.335,0.492,0.826,122,493,17,10,2,3,1,8.9,5.5,8.1,1.6,27,3,7,10,7,*8/H,ATL,harrimi04
92,Harrison Bader,12.4,2017,2024,23-30,653,2176,1960,282,480,318,89,13,60,223,81,19,156,527,0.245,0.311,0.395,0.707,93,775,23,40,4,16,15,12.4,5.4,7.2,6.3,-21,4,10,14,52,8H97/D,CINNYMNYYSTL,baderha01
93,Jeremy Peña,9.6,2022,2024,24-26,309,1286,1188,164,315,219,57,5,34,125,28,13,68,279,0.265,0.312,0.407,0.72,102,484,21,16,2,6,1,9.6,5.3,7.3,4.2,5,4,1,5,22,*6/H,HOU,penaje02
94,Adolis García,12,2018,2024,25-31,500,2030,1850,292,458,251,97,7,103,321,54,13,144,585,0.248,0.305,0.475,0.78,113,878,38,18,0,18,2,12,5.3,9.4,1.6,26,1,8,9,26,98DH7,STLTEX,garciad02
95,Mike Yastrzemski,12.3,2019,2024,28-33,570,2158,1890,310,452,232,118,13,89,267,15,8,225,546,0.239,0.326,0.457,0.782,113,863,17,24,6,13,11,12.3,5.2,9.2,1.8,32,4,0,4,31,*987H/D,SFG,yastrmi01
96,Tyler O'Neill,10.7,2018,2024,23-29,492,1697,1512,253,378,223,67,3,85,225,41,9,147,504,0.25,0.324,0.467,0.79,116,706,30,24,0,14,2,10.7,5.2,8.6,0.6,37,0,8,8,22,7H98/D,BOSSTL,oneilty01
97,Jorge Polanco,17.1,2014,2024,20-30,854,3620,3231,451,862,546,181,20,115,455,51,30,320,669,0.267,0.334,0.442,0.776,111,1428,44,22,16,31,5,17.1,5.1,21,-0.3,47,9,-3,5,-41,64DH5,MINSEA,polanjo01
98,Kiké Hernández,16.5,2014,2024,22-32,1074,3551,3170,444,756,456,176,15,109,397,17,6,315,705,0.238,0.31,0.407,0.716,92,1289,64,27,6,33,12,16.5,5.1,10.3,8,-33,-3,9,6,63,84H67953/D1,BOSHOULADMIA,hernaen02
99,Chris Taylor,16.7,2014,2024,23-33,995,3586,3178,475,798,478,186,30,104,411,85,22,344,1046,0.251,0.33,0.427,0.756,104,1356,34,38,7,19,10,16.7,5,16.5,1.3,27,4,10,14,4,7684H5D9,LADSEA,tayloch03
100,Michael Conforto,16.3,2015,2024,22-31,903,3536,3038,469,768,453,160,4,151,469,22,12,419,835,0.253,0.352,0.457,0.809,120,1389,67,57,0,22,27,16.3,5,17.3,-3.6,90,0,-1,-1,-6,*978HD,NYMSFG,confomi01
